order_id,order_date,state,zone,category,brand_type,customer_gender,customer_age,base_price,discount_percent,final_price,units_sold,revenue,sales_event,competition_intensity,inventory_pressure
ORD0000001,2023-01-31,West Bengal,East,Fashion,Mass,Male,28,1810.89,65.0,633.81,29,18380.49,Normal,Medium,High
ORD0000002,2023-01-31,Gujarat,West,Sports & Fitness,Mass,Male,19,5678.15,50.83,2791.95,67,187060.65,Normal,Medium,High
ORD0000003,2023-01-31,Delhi NCR,North,Grocery Essentials,Mass,Male,25,169.98,35.26,110.05,57,6272.85,Normal,Medium,Low
ORD0000004,2023-01-31,Madhya Pradesh,Central,Footwear,Mass,Female,30,3244.91,61.94,1235.01,55,67925.55,Normal,High,High
ORD0000005,2023-01-31,Haryana,North,Fashion,Premium,Female,33,697.44,48.27,360.79,29,10462.91,Festival,Medium,High
ORD0000006,2023-01-31,Punjab,North,Grocery Essentials,Mass,Female,19,100.55,65.0,35.19,16,563.04,Festival,High,High
ORD0000007,2023-01-31,Delhi NCR,North,Home & Living,Mass,Female,47,2382.06,46.86,1265.83,34,43038.22,Normal,Medium,High
ORD0000008,2023-01-31,West Bengal,East,Fashion,Mass,Male,23,580.72,46.86,308.59,27,8331.93,Normal,Medium,High
ORD0000009,2023-01-31,West Bengal,East,Grocery Essentials,Mass,Male,45,132.67,65.0,46.43,52,2414.36,Festival,High,Low
ORD0000010,2023-01-31,Gujarat,West,Grocery Essentials,Premium,Male,40,419.25,40.48,249.54,44,10979.76,Normal,Medium,High
ORD0000011,2023-01-31,Uttar Pradesh,North,Beauty & Personal Care,Mass,Female,22,1141.42,64.08,410.0,13,5330.0,Normal,Medium,Low
ORD0000012,2023-01-31,Kerala,South,Grocery Essentials,Premium,Male,21,701.96,43.81,394.43,49,19327.07,Festival,High,Low
ORD0000013,2023-01-31,Karnataka,South,Sports & Fitness,Mass,Female,34,1390.31,65.0,486.61,52,25303.72,Normal,High,High
ORD0000014,2023-01-31,Maharashtra,West,Fashion,Mass,Female,29,3329.39,26.75,2438.78,47,114622.66,Normal,Medium,Low
ORD0000015,2023-01-31,Odisha,East,Home & Living,Premium,Male,53,2000.65,18.44,1631.73,14,22844.22,Festival,Low,Low
ORD0000016,2023-01-31,Punjab,North,Grocery Essentials,Mass,Male,53,527.0,55.83,232.78,11,2560.58,Normal,Medium,Low
